Month Year,1,2,3,4,5,6,7,8,9,10,11,12,13
March 2021,1.0,0.8584070796460177,0.6789746719560573,0.6020750686603601,0.5456209948123284,0.4790967348184315,0.7131522734208117,0.728410131217577,0.7052181873664938,0.675617943240769,0.6887397009459871,0.6466280134269149,0.6231309124198963
April 2021,1.0,0.5696034069736492,0.4540857066808624,0.3832845355336705,0.3247271759382486,0.5781208410966197,0.6023422943838169,0.5626829917487357,0.5302102741549108,0.5459142933191377,0.5033271227042854,0.4381155177002928,
May 2021,1.0,0.4411764705882353,0.29891956782713086,0.20768307322929172,0.4525810324129652,0.4807923169267707,0.460984393757503,0.43937575030012005,0.43337334933973587,0.4171668667466987,0.33913565426170467,,
June 2021,1.0,0.35135135135135137,0.1864864864864865,0.37207207207207205,0.41711711711711713,0.3891891891891892,0.36576576576576575,0.36666666666666664,0.33063063063063064,0.2801801801801802,,,
July 2021,1.0,0.49336283185840707,0.6460176991150443,0.6504424778761062,0.6212389380530974,0.5858407079646017,0.5792035398230089,0.3827433628318584,0.16681415929203539,,,,
August 2021,1.0,0.6473165388828039,0.5618838992332968,0.5323110624315444,0.46987951807228917,0.46987951807228917,0.2968236582694414,0.16210295728368018,,,,,
September 2021,1.0,0.6796382570567279,0.5354891751164703,0.47519868457111536,0.4721841600438476,0.37791175664565635,0.28610578240613865,,,,,,
October 2021,1.0,0.5079847908745247,0.38098859315589356,0.3591888466413181,0.29429657794676806,0.2111533586818758,,,,,,,
November 2021,1.0,0.45541269182911653,0.3401078390709249,0.28452924097884696,0.20240564081294068,,,,,,,,
December 2021,1.0,0.4644087256027555,0.3208955223880597,0.2336394948335247,,,,,,,,,
January 2022,1.0,0.4653169598406903,0.25489545303684036,,,,,,,,,,
February 2022,1.0,0.24528795811518325,,,,,,,,,,,
March 2022,1.0,,,,,,,,,,,,
